t,S(t),I(t),R(t),N
0,146799982,18,0,146800000
1,146799974.9218758,24.29707317257153,0.7810510227657659,146800000.0
2,146799965.3675595,32.797097091668064,1.8353434157438926,146800000.0
3,146799952.47078714,44.27074520190898,3.258467660344209,146800000.0
4,146799935.0622441,59.7583003091874,5.1794556033549455,146800000.0
5,146799911.56354702,80.66397312944926,7.772479855360615,146800000.0
6,146799879.8441376,108.88321624834921,11.272646142645812,146800000.0
7,146799837.02811337,146.97457590319345,15.997310731633206,146800000.0
8,146799779.23348215,198.39166145657083,22.374856391205583,146800000.0
9,146799701.22020188,267.7962619236795,30.983536196580758,146800000.0
10,146799595.91509715,361.48099408029407,42.6039087724796,146800000.0
11,146799453.7705851,487.9397935627419,58.28962134733615,146800000.0
12,146799261.8990798,658.6379575139553,79.46296268639264,146800000.0
13,146799002.9046157,889.051526670737,108.04385762901813,146800000.0
14,146798653.30579638,1200.0701905340916,146.62401308109702,146800000.0
15,146798181.40715417,1619.8908142068158,198.7020316205253,146800000.0
16,146797544.42605487,2186.573087337271,269.0008577976073,146800000.0
17,146796684.6148926,2951.4886799422925,363.89642745574065,146800000.0
18,146795524.0274243,3983.976031175066,491.99654451925653,146800000.0
19,146793957.45552206,5377.62171563079,664.9227623088154,146800000.0
20,146791842.89739648,7258.735911099029,898.3666924258941,146800000.0
21,146788988.69572914,9797.78678894463,1213.5174819189033,146800000.0
22,146785136.1844063,13224.823945981265,1638.9916477084153,146800000.0
23,146779936.27930215,17850.277245497833,2213.443452352156,146800000.0
24,146772917.90673044,24092.99492757934,2989.09834197742,146800000.0
25,146763445.43632206,32518.023226046225,4036.540451890567,146800000.0
26,146750661.31216624,43887.48023169668,5451.207602059527,146800000.0
27,146733408.77772903,59229.00442021401,7362.217850751564,146800000.0
28,146710127.86471835,79927.74347281698,9944.391808835237,146800000.0
29,146678715.5364889,107849.7867519064,13434.67675920295,146800000.0
30,146636337.88902676,145507.438997198,18154.671976040932,146800000.0
31,146579178.4418784,196279.88019852835,24541.677923063457,146800000.0
32,146502101.61928448,264706.6099010874,33191.77081443177,146800000.0
33,146398204.39125338,356875.5666294771,44920.042117140954,146800000.0
34,146258221.71406126,480932.6125931628,60845.67334557697,146800000.0
